site_name,habitat,total_shorebirds,total_waterfowl,total_waders,survey_count,avg_species_per_survey
Palo Alto Baylands,mudflat,4523,234,156,12,18.5
Don Edwards NWR,salt_pond,2345,1567,89,10,22.3
Coyote Hills,freshwater,123,2345,67,8,15.2
Alviso Marina,mudflat,1234,189,234,6,19.8
Shoreline Lake,freshwater,45,3456,23,10,12.4
Eden Landing,salt_pond,3456,890,123,8,24.1
Hayward Regional Shoreline,mudflat,1567,345,178,7,17.6
Martin Luther King Jr. Shoreline,mudflat,892,234,145,5,16.2
Arrowhead Marsh,marsh,234,567,312,6,14.8
Newark Slough,salt_pond,1890,678,98,9,20.5
